timestamp,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.02530643,220,8,f9,03,f1,03,9f,01,c1,0f
1.026347322,545,8,dc,12,00,89,96,00,97,00
1.027397623,153,8,00,80,10,ff,00,ff,00,00
1.028444502,220,8,fa,03,e5,03,9f,01,c1,0f
1.02950079,370,8,ff,20,00,00,ff,00,00,20
1.030551946,545,8,dc,12,00,89,96,00,9b,00
1.03159797,1F1,8,00,00,00,00,00,00,00,00
1.032646133,316,8,45,19,9e,0c,19,10,00,00
1.033698999,153,8,00,80,10,ff,00,ff,00,00
1.034748872,59B,8,00,00,00,00,00,00,00,88
1.035803022,5A1,8,54,47,48,39,47,41,98,17
1.036753681,18F,8,fe,3c,19,00,00,51,00,00
1.03771161,545,8,e4,12,00,89,9a,00,9a,00
1.039108304,153,8,00,80,10,ff,00,ff,00,00
1.040161599,1F1,8,00,00,00,00,00,00,00,00
1.041650237,0A0,8,40,65,ae,0c,00,ad,00,00
1.043111079,545,8,e4,12,00,89,99,00,9a,00
1.044567217,220,8,f4,03,f1,03,a1,01,c1,0f
1.045703902,350,8,15,13,e3,83,88,00,00,ee
1.047073227,153,8,00,80,10,ff,00,ff,00,00
1.048393801,545,8,e4,12,00,89,99,00,9a,00
1.049685294,153,8,00,80,10,ff,00,ff,00,00
1.050974222,1F1,8,00,00,00,00,00,00,00,00
1.052260584,329,8,84,92,80,90,0a,20,00,14
1.053520431,545,8,dc,12,00,88,99,00,9a,00
1.054870085,220,8,ff,03,f1,03,9f,01,c1,0f
1.055923379,316,8,45,19,9e,0c,19,10,00,00
1.057370536,220,8,fa,03,f5,03,9f,01,c1,0f
1.058674431,545,8,dc,12,00,89,99,00,9c,00
1.247142249,4F0,8,80,00,00,00,00,c5,bc,14
1.24928305,1F1,8,00,00,00,00,00,00,00,00
1.250285454,428,8,05,00,00,80,65,08,02,00
1.251261772,545,8,e4,12,00,89,9b,00,9c,00
1.252182068,220,8,f9,03,ec,03,9f,01,c1,0f
1.253167366,260,8,17,19,00,30,00,64,00,00
1.254549521,220,8,ff,03,e4,03,9f,01,c7,0f
1.256207507,545,8,e4,12,00,89,9b,00,9b,00
1.257580254,4F0,8,80,00,00,00,00,c5,bc,14
1.258883721,260,8,17,19,00,30,00,65,00,00
1.260046493,43F,8,00,40,60,ff,54,c0,0b,00
1.261193442,545,8,e4,12,00,88,9a,00,98,00
1.262140252,220,8,ff,03,f1,03,9f,01,c7,0f
1.263112294,260,8,17,19,00,30,00,65,00,00
