time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.44058916,0,1F1,8,00,00,00,00,00,00,00,00
1.441936675,0,350,8,27,13,43,7f,80,00,00,88
1.44323886,0,0A1,8,80,80,80,80,63,43,0d,00
1.444454232,0,43F,8,00,40,60,ff,4c,7c,0c,00
1.445506244,0,440,8,ff,a0,00,00,ff,80,0c,00
1.446556117,0,220,8,fd,03,f5,03,00,00,c7,0f
1.447624378,0,545,8,dc,13,00,8a,2f,00,32,00
1.448675107,0,430,8,00,00,00,00,00,00,00,00
1.449727546,0,4F0,8,80,00,00,00,00,63,c6,14
1.450793669,0,316,8,45,1a,8e,0d,1a,17,00,00
1.452043681,0,545,8,dc,13,00,89,31,00,35,00
1.453182505,0,440,8,ff,00,00,00,ff,80,0c,00
1.454238365,0,220,8,ff,03,e7,03,00,00,d4,0f
1.455289948,0,0A1,8,80,80,80,80,63,12,0d,00
1.456345808,0,440,8,ff,50,00,00,ff,74,0c,00
1.45739953,0,350,8,27,13,83,7f,80,00,00,48
1.458453252,0,4F0,8,80,00,00,00,00,63,c6,14
1.459505263,0,2B0,5,d9,ff,00,07,65,00,c7,0f
1.460559841,0,440,8,ff,a0,00,00,ff,74,0c,00
1.461612707,0,350,8,27,13,93,7f,80,00,00,58
1.462665574,0,0A1,8,80,80,80,80,63,2d,0b,00
1.463810384,0,43F,8,00,40,60,ff,4c,7c,0c,00
1.464936806,0,430,8,00,00,00,00,00,00,00,00
1.466058951,0,690,8,00,00,01,00,00,00,00,00
1.467295706,0,329,8,ed,72,7f,90,49,20,00,14
1.46866161,0,440,8,ff,00,00,00,ff,88,0c,00
1.469800434,0,350,8,27,13,b3,7f,80,00,00,78
1.470836195,0,220,8,ff,03,f1,03,00,00,da,0f
1.471788992,0,2B0,5,d9,ff,00,07,b8,00,37,00
1.472719979,0,440,8,ff,50,00,00,ff,78,0c,00
1.47364669,0,4F0,8,80,00,00,00,00,63,c6,14
1.474565703,0,260,8,16,1a,00,30,00,61,00,00
1.475481722,0,220,8,ff,03,f5,03,00,00,da,0f
1.476399452,0,350,8,27,13,d3,7f,80,00,00,18
1.477315472,0,316,8,45,1a,8c,0d,1a,17,00,00
1.478230636,0,2B0,5,d9,ff,00,07,9a,20,00,14
1.479278371,0,440,8,ff,f0,00,00,ff,80,0c,00
1.480220049,0,153,8,00,80,10,ff,00,ff,00,00
1.481164721,0,316,8,45,1a,8c,0d,1a,17,00,00
1.482147881,0,545,8,dc,14,00,88,36,00,37,00
1.483116502,0,220,8,fd,03,e5,03,00,00,da,0f
1.484048344,0,350,8,27,13,f3,7f,80,00,00,38
1.48525944,0,2A0,8,00,00,64,00,00,00,00,00
1.486207533,0,440,8,ff,50,00,00,ff,78,0c,00
1.487138948,0,4F0,8,80,00,00,00,00,63,c6,14
1.488067369,0,429,8,55,02,00,00,00,00,2d,03
1.489002205,0,545,8,dc,13,00,89,32,00,32,00
1.489929771,0,440,8,ff,a0,00,00,ff,88,0c,00
1.490857765,0,350,8,27,13,13,7f,80,00,00,d8
1.49178918,0,260,8,15,1a,00,30,00,61,00,00
1.492715035,0,370,8,ff,20,00,00,ff,00,00,6c
1.493644312,0,350,8,27,13,23,7f,80,00,00,e8
1.494594971,0,4F0,8,80,00,00,00,00,63,c6,14
1.49551826,0,2B0,5,d9,ff,00,07,cf,00,2d,03
1.496439839,0,440,8,ff,00,00,00,ff,74,0c,00
1.497384939,0,220,8,fd,03,f7,03,00,00,d4,0f
1.498404021,0,0A0,8,44,4e,94,0d,00,ad,00,00
1.49936751,0,2B0,5,d9,ff,00,07,30,00,33,00
1.500292082,0,59B,8,00,00,00,00,00,00,00,00
1.501489066,0,690,8,00,00,01,00,00,00,00,00
1.502479924,0,260,8,15,1a,00,30,00,61,00,00
1.503416043,0,440,8,ff,a0,00,00,ff,80,0c,00
1.504347885,0,5A2,4,09,00,00,00,00,00,00,00
1.505290846,0,220,8,ff,03,ea,03,00,00,c7,0f
1.506295389,0,2B0,5,d9,ff,00,07,12,00,32,00
1.507225093,0,220,8,ff,03,ea,03,00,00,c7,0f
1.508152659,0,4F0,8,80,00,00,00,00,63,c6,14
1.509077232,0,18F,8,fe,4c,1a,00,00,56,00,00
1.510016772,0,43F,8,00,40,60,ff,4c,78,0c,00
1.510940061,0,350,8,27,13,73,7f,80,00,00,b8
1.511864634,0,220,8,fc,03,f1,03,00,00,e0,0f
1.512789634,0,545,8,dc,13,00,8a,31,00,34,00
1.513712496,0,440,8,ff,50,00,00,ff,78,0c,00
1.514635358,0,350,8,27,13,83,7f,80,00,00,48
1.51555822,0,0A0,8,44,4e,94,0d,00,ad,00,00
1.516481509,0,430,8,00,00,00,00,00,00,00,00
1.517419339,0,1F1,8,00,00,00,00,00,00,00,00
1.518492305,0,350,8,27,13,93,7f,80,00,00,58
1.519531914,0,2A0,8,00,00,64,00,00,00,00,00
1.520464185,0,440,8,ff,f0,00,00,ff,84,0c,00
1.521389612,0,220,8,ff,03,f7,03,00,00,da,0f
1.522319317,0,429,8,55,02,00,00,00,00,2d,03
1.523243889,0,2B0,5,d9,ff,00,07,47,00,36,00
1.524171883,0,4B1,8,00,00,00,00,00,00,00,00
1.525108002,0,350,8,27,13,b3,7f,80,00,00,78
1.526038561,0,153,8,00,80,10,ff,00,ff,00,00
1.526965272,0,370,8,ff,20,00,00,ff,00,00,e4
1.527888562,0,350,8,27,13,c3,7f,80,00,00,08
1.528813989,0,220,8,ff,03,ea,03,00,00,c1,0f
1.52973899,0,545,8,dc,14,00,89,38,00,37,00
1.530683661,0,153,8,00,80,10,ff,00,ff,00,00
1.531693336,0,350,8,27,13,d3,7f,80,00,00,18
1.532660673,0,316,8,45,1a,8c,0d,1a,17,00,00
